"ID","Square","Quad","Context","Spit","Bag","Raw Material","Typology","Type","Weight","Scar number","Number  of rotations","Core cortex","Core cortex type","Form last removal","Length last removal","Width last removal","Core Technology","Core length","Core width","Core thickness","Residues","Photograph Number","Illustration Number","Comments","GM","logGM","PC1","PC2","Shape_length","Shape_width","Shape_thick","GM2"
21136,"S6","SE","6-8","2",NA,"CCS (white)","Core (Bipolar)","Bipolar",2.62,12,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,20.87,10.1,8.28,NA,NA,NA,"Very reduced bipolar core, lots of opposed scars. And crushing.",12.0399510121147,2.48823037111116,-0.113416683766868,0.283573395365334,0.550082349977946,-0.17569494726395,-0.374387402713996,12.0399510121147
21151,"S6","SE","6-8","2",NA,"CCS (light blue)","Core (Multidirectional)","Freehand",14.35,13,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,25.76,22.5,17.4,NA,NA,NA,"Nice core. Pretty. Looks like it was used as a platform core, then rotated only 1/4 turn and used as a platform core again. Almost a perfect cube.",21.6052456395542,3.072936138889,0.185667179080364,-0.0661191344739071,0.17588676234715,0.0405791703213712,-0.21646593266852,21.6052456395542
21154,"S6","SE","6-8","2",NA,"CCS (other)","Core (Bipolar)","Bipolar",6.02,14,NA,"N/A",NA,"indeterminate",NA,NA,NA,20.27,18.13,12.6,NA,NA,NA,NA,16.6676369666211,2.8134689330627,0.115556969687996,-0.103236672405019,0.195673027401209,0.0840990917040597,-0.279772119105268,16.6676369666211
21172,"S6","SE","6-8","2",NA,"CCS (brown)","Core (Multidirectional)","Freehand",18.15,11,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,29.55,24.01,23.09,NA,NA,NA,"Actually a pretty nice little core.",25.3975130839571,3.23465125915056,0.314774477862421,0.0232381494408727,0.151432484701549,-0.0561808489173959,-0.0952516357841538,25.3975130839571
21177,"S6","SE","6-8","2",NA,"CCS (greyish blue)","Core (Multidirectional)","Freehand",4.33,7,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,23.12,15.53,8.48,NA,NA,NA,"Has crushing along opposing margins, but no intersecting scars. May have tried bipolar.",14.4938928351775,2.67372737692286,-0.24132991960467,0.00686394888140154,0.466970666881315,0.0690462602377342,-0.53601692711905,14.4938928351774
21187,"S6","SE","6-8","2",NA,"CCS (maroon)","Core (Initial)","Freehand",4.83,1,NA,"2","Rough","blade","23.82","14.54",NA,23.92,15.06,9.49,NA,NA,NA,NA,15.0643634987631,2.71233192135867,-0.166540439151085,0.075418721336363,0.462383007723759,-0.000289698986924316,-0.462093308736835,15.0643634987631
21217,"S6","SE","6-8","2",NA,"CCS (true blue)","Core (Multidirectional)","Freehand",3.53,5,NA,"1","Smooth tabular","indeterminate",NA,NA,"Informal",24.16,13.72,10.31,NA,NA,NA,NA,15.0627141884684,2.71222243113107,-0.0884108288715344,0.17313108097556,0.47247594193554,-0.0933678088333349,-0.379108133102205,15.0627141884684
21249,"S6","SE","6-8","2",NA,"CCS (grey)","Core (Initial)","Freehand",85.37,2,1,"1","Rough","circular/oval","20.15","38.13","Informal",71,34,29.21,NA,NA,NA,"Looks like a nodule that was tested and then abandoned.",41.3132734491433,3.72118383935238,-0.0827522930411535,0.299926309985325,0.54149603768894,-0.194823314736214,-0.346672722952726,41.3132734491433
21266,"S6","SE","6-8","1",NA,"CCS (light blue)","Core (Bipolar)","Bipolar",5.65,11,NA,"0",NA,"indeterminate",NA,NA,NA,21.72,17.21,10.66,NA,NA,NA,"Textbook BP core. Definitely photograph this one. Brian should see this too.",15.8537728707862,2.76340750800896,-0.0457264427361677,-0.059530578267143,0.314825987056774,0.0820831022144879,-0.396909089271262,15.8537728707862
21272,"S6","SE","6-8","1",NA,"CCS (beige)","Core (Multidirectional)","Freehand",14.06,9,2,"1","Smooth other","indeterminate",NA,NA,NA,33.8,26.72,13.47,NA,NA,NA,"Has multiple distinct platforms. Not very reduced though. You could definitely get more good flakes off of it.",22.998892145756,3.13544604719323,-0.208973750761709,-0.103675527699961,0.385014755295743,0.149966301475215,-0.534981056770957,22.998892145756
