"Core length","Core width","Core thickness","Weight","Site","GM","logGM","PC1","PC2"
10.67,6.31,4.25,0.2,"UMH",6.58962806927019,1.8854969082677,-1.03604346444124,0.647696497376289
15.16,9.19,5.67,0.8,"UMH",9.24412743584322,2.22398847810716,-1.09364606925966,1.12603604857279
33.27,27.68,16.3,16,"UMH",24.6680884530682,3.20551044286419,0.456882652473759,1.08850877013747
12.7,4.83,5.28,0.3,"UMH",6.86744080672092,1.92679151961573,-2.30602694651315,-1.70044336449799
13.42,10.32,7.02,0.8,"UMH",9.90656534209645,2.29319770321156,0.353543764917592,0.338507291337736
10.7,5.36,4.39,0.2,"UMH",6.31448150975113,1.84284564787922,-1.48482492989726,-0.312422316199616
32.97,15.47,12.11,6.8,"UMH",18.3478198787445,2.90951075974454,-1.92192567659062,0.00945603898181313
15,11.04,6.95,1.2,"UMH",10.4796886258322,2.34943896717595,-0.0398113821536213,0.824159568917275
24.29,25.2,14.95,7.9,"UMH",20.9165353755103,3.04054001245605,1.62278969384354,0.833839805343607
14.24,9.69,7.64,1.1,"UMH",10.1775296195533,2.32018231168831,0.0303444908212999,-0.389049965900259
24.82,16.16,11.49,4.2,"UMH",16.6413180430935,2.81188864157669,-0.419614378216838,0.245170136853671
32.92,14.03,11.89,6,"UMH",17.6427569292889,2.87032532687531,-2.25427213456124,-0.352458391252656
20.87,10.1,8.28,2.62,"MLK",12.0399510121147,2.48823037111116,-1.66257728717969,-0.284646674380437
20.27,18.13,12.6,6.02,"MLK",16.6676369666211,2.8134689330627,1.18645596959674,0.070433684090617
21.72,17.21,10.66,5.65,"MLK",15.8537728707862,2.76340750800896,0.310164091761721,0.846011862948516
38.38,26.3,12.68,22.37,"MLK",23.3916033379696,3.15237712625745,-0.979595670636007,2.42005995514216
18.52,15.24,12.94,4.62,"MLK",15.3999771068418,2.73436602284976,1.17818932682672,-0.995976562990273
24.94,16.29,9.37,3.12,"MLK",15.6141749611688,2.74817915303873,-0.853965517879475,1.45567456683274
36.81,23.76,19.45,23.35,"MLK",25.7184003844133,3.24720670398328,-0.164945322988782,-0.553195888597836
22.19,17.69,13.22,8.68,"MLK",17.3129947273204,2.85145735984658,0.741325402653779,-0.234576753385539
21.52,14.94,8.19,3.13,"MLK",13.8088948326841,2.62531293762108,-0.638519685256996,1.67235616097535
36.04,19.28,14.99,17.58,"MLK",21.8389195393694,3.08369367801235,-1.25311775069557,-0.0776234259503086
20.89,16.41,12.88,6.18,"MLK",16.405430375003,2.79761240044889,0.768891562798385,-0.501238983265952
25.22,16.21,11.68,7.51,"MLK",16.8392849732983,2.82371454789481,-0.458503889719008,0.181362846117546
21.6,13.71,9.6,3.38,"MLK",14.1662253580329,2.65086063557938,-0.584815132031117,0.357243245898038
28.31,19.02,12.93,7.86,"MLK",19.0948522497781,2.94941878300827,-0.35154473857771,0.47192404713482
27,16.22,12.48,8.32,"MLK",17.6147465939199,2.86873642587763,-0.67102891896169,-0.129403456097331
23.5,16.32,13.38,5.77,"MLK",17.2483693480639,2.84771760846205,0.219502123450232,-0.632275410833721
24.13,12.59,15.86,6.62,"MLK",16.8899648206482,2.82671964796663,-0.35667348315192,-2.81639121299056
27.5,27.06,14.76,18.41,"MLK",22.2287793298198,3.10138781552916,1.1683850664364,1.36563313987548
15.55,12.87,12.48,3.68,"MLK",13.5677502878978,2.60769567439152,1.49082094674725,-1.76196845024693
22.23,20.05,12.16,6.65,"MLK",17.5655790755637,2.86594125275557,0.940247825732999,0.842178719430027
20.05,12.44,11.23,3.29,"MLK",14.0962903910809,2.64591166993799,-0.162884148749379,-1.07524013370614
19.9,20.59,14.56,8.25,"MLK",18.1366441775133,2.89793443184623,1.98234621444951,-0.168915399787375
8.83,16.51,8.87,1.92,"MLK",10.8945793292181,2.3882653562898,4.48111620065578,0.835156725991814
15.09,10.59,9.87,2.72,"MLK",11.6403878471043,2.45448076194615,0.546928424196223,-1.37642211561692
21.16,15.92,17.14,8.41,"MLK",17.9400306815167,2.88703456685866,1.21640277009905,-2.26916060625792
